"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Amin M.; Khan I.; Shamim A.; Ting D.H.; Jan A.; Abbasi A.Z.","Amin, Muhammad (44461036900); Khan, Imran (56594205800); Shamim, Amjad (56556312500); Ting, Ding Hooi (12753318800); Jan, Amin (57546213400); Abbasi, Amir Zaib (56940054500)","44461036900; 56594205800; 56556312500; 12753318800; 57546213400; 56940054500","Employee motivations in shaping customer value co-creation attitude and behavior: Job position as a moderator","2024","Journal of Retailing and Consumer Services","79","","103819","","","","0","10.1016/j.jretconser.2024.103819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188705710&doi=10.1016%2fj.jretconser.2024.103819&partnerID=40&md5=5a70f5a6c3d3e7e7695f8ea00dde9bba","The role of Frontline Employees' (FLEs) motives in determining customer Value Co-Creation (VCC), attitude, and behavior is studied less. Following social exchange theory, the study sets two objectives: (1) to examine whether employee motivations (professional identity, financial reward, recognition, and career opportunity) impact customers' ‘attitude’ and ‘behavior’ in VCC; and (2) to explore how job positions (junior/senior) moderate relationships between employee motivations and customer attitudes in VCC. We collected data from 345 FLEs and customers to examine the proposed model using SPSS and AMOS software. The results show that the employees' motives, including recognition, career opportunities, and professional identity, are critical drivers of customer VCC's attitude and behavior. In addition, the findings reveal that the employee's job position significantly moderates the relation that employee motives share with customer VCC attitude. The results exhibit the differences in the relationship of motivational dimensions between junior vs. senior positions. These results provide practical guidelines to marketers seeking to enhance customer VCC's attitude and behavior. © 2024 Elsevier Ltd","Attitude; Behavior; Employees' motivation; Job position; Value Co-Creation; VCC","Article","Final","","Scopus","2-s2.0-85188705710"
"Mothobi O.; Kebotsamang K.","Mothobi, Onkokame (57194458360); Kebotsamang, Kago (56747928000)","57194458360; 56747928000","The impact of network coverage on adoption of Fintech and financial inclusion in sub-Saharan Africa","2024","Journal of Economic Structures","13","1","5","","","","0","10.1186/s40008-023-00326-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182700550&doi=10.1186%2fs40008-023-00326-7&partnerID=40&md5=df2d947703c26cfc20c6ce9a370073cf","Digital finance plays a major role in improving access to, usage and quality of financial services in developing countries. The use of these platforms has been associated with a positive impact on economic growth and people’s welfare. They allow for convenient, secure, and efficient transaction and are the crucial element of e-commerce. In this paper, we analyse the effect of mobile network coverage on adoption of financial technologies and financial inclusion using a survey data of 12,735 individuals from nine sub-Saharan African countries conducted in 2017. By combining survey data with information on the proximity of mobile network towers, we estimate a two-stage model. In the first stage, consumers decide to adopt a technology device, and in the second stage, they decide whether to use digital financial services or not. Results show a significant and positive relationship between network coverage and adoption of digital financial services. Considering that the whole population lives within 2 km radius from the LTE tower, financial inclusion would increase by 6% in Mozambique and 3% in Ghana, Rwanda and Senegal. In Tanzania, where mobile money is the common financial service, investment in GSM and UMTS would have a larger impact on financial inclusion than LTE. These results show that digital financial technologies such as mobile money, mobile banking and e-wallet, that do not necessarily require consumers to be connected to the Internet have a greater impact on financial inclusion in East African countries, where financial service innovations are mobile led. However, in countries where digital financial innovations are bank led, LTE coverage have a greater impact than GSM and UMTS coverage. The findings of this study can help policy-makers to understand the issues related to the expansion of digital financial services and effective strategies to deliver these services to the poor. © 2024, The Author(s).","Digital finance; Digital technologies; Financial inclusion","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182700550"
"Zhang X.; La L.; Huang G.I.; Xie H.","Zhang, Xin (58916010600); La, Lei (58915715700); Huang, GuoQiong Ivanka (58915715800); Xie, Haoxiang (58916598300)","58916010600; 58915715700; 58915715800; 58916598300","Strategies and conditions for crafting managerial responses to online reviews","2024","Tourism Management","103","","104911","","","","0","10.1016/j.tourman.2024.104911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186505869&doi=10.1016%2fj.tourman.2024.104911&partnerID=40&md5=ce9ff8df88a9b8c9eec114d112636829","The present study investigates how managerial responses to online reviews can help managers maintain relationships with past and future customers, exploring the question through the lens of the uncertainty reduction theory and the rapport management model. The present work crawled 446,663 customer reviews and 96,633 tour managerial responses on Ctrip.com using Python. Through randomly selecting 1000 responses, Study 1 manually identified nine managerial response strategies to customer online reviews. The Bidirectional Encoder Representations from Transformers (BERT) model was then adopted to automatically label the strategies used in all of the managerial responses. Employing negative binomial regression models, Study 2 then examined the interactions between attributes of customer reviews and managerial responses as a method for estimating helpfulness votes. The results indicate that excessively lengthy, highly templated, and unfocused managerial responses to customer reviews can dampen the relationship between customers’ information processing and their perception of the helpfulness of online reviews. © 2024 Elsevier Ltd","Customer reviews; Helpfulness votes; Managerial response; Rapport management model; Uncertainty reduction theory","Article","Final","","Scopus","2-s2.0-85186505869"
"Jeong J.; Premsankar G.; Ghaddar B.; Tarkoma S.","Jeong, Jaehee (57217144356); Premsankar, Gopika (57076872400); Ghaddar, Bissan (14057923000); Tarkoma, Sasu (10141380000)","57217144356; 57076872400; 14057923000; 10141380000","A robust optimization approach for placement of applications in edge computing considering latency uncertainty","2024","Omega (United Kingdom)","126","","103064","","","","0","10.1016/j.omega.2024.103064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186537354&doi=10.1016%2fj.omega.2024.103064&partnerID=40&md5=ec3160a366c628cc2d9ea112c4dfe71e","Edge computing brings computing and storage resources close to end-users to support new applications and services that require low network latency. It is currently used in a wide range of industries, from industrial automation and augmented reality, to smart cities and connected vehicles, where low latency, data privacy, and real-time processing are critical requirements. The latency of accessing applications in edge computing must be consistently below a threshold of a few tens of milliseconds to maintain an acceptable experience for end-users. However, the latency between users and applications can vary considerably depending on the network load and mode of wireless access. An application provider must be able to guarantee that requests are served in a timely manner by their application instances hosted in the edge despite such latency variations. This article focuses on the placement and traffic allocation problem faced by application providers in determining where to place application instances on edge nodes such that requests are served within a certain deadline. It proposes novel formulations based on robust optimization to provide optimal plans that protect against latency variations in a configurable number of network links. The robust formulations are based on two different types of polyhedral uncertainty sets that offer different levels of protection against variations in latency. Extensive simulations show that our robust models are able to keep the number of chosen edge nodes low while reducing the number of latency violations as compared to a deterministic optimization model that only considers the average latency of network links. © 2024 The Authors","Application placement; Edge computing; Robust optimization; Telecommunication networks; Uncertainty in network latency","Article","Final","","Scopus","2-s2.0-85186537354"
"Kumar D.; Agrawal S.; Singh R.K.; Singh R.K.","Kumar, Dharmendra (57697257400); Agrawal, Saurabh (56565994300); Singh, Rajesh Kumar (57218986944); Singh, Raj Kumar (57219456056)","57697257400; 56565994300; 57218986944; 57219456056","IoT-enabled coordination for recommerce circular supply chain in the industry 4.0 era","2024","Internet of Things (Netherlands)","26","","101140","","","","0","10.1016/j.iot.2024.101140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187933556&doi=10.1016%2fj.iot.2024.101140&partnerID=40&md5=45e2708ac0af0a4f42f2803f082ed1ab","The current advances in integrating devices through the Internet of Things (IoT) have encouraged researchers to focus on the applications of IoT in the recommerce business. Recommerce and the circular economy are growing worldwide as customers and businesses prioritize sustainability. A lack of coordination between channel participants is a significant hurdle to successfully adopting Circular principles in the recommerce industry. This study explores the coordination issue for a circular supply chain consisting of a Web-based recommerce platform and an IoT-enabled original equipment manufacturer. The proposed study is analyzed using a mixed-method research strategy combining a case study with a game-theoretic model. We analyze the problem under a consignment contract with revenue sharing for different channel structures. We introduce a hybrid contract to coordinate the decentralized channel in a cooperative game model. The results show that the consignment contract cannot coordinate the business in a decentralized structure. The recommerce platform achieves perfect coordination through the hybrid contract and obtains a unique Pareto optimization. We are proposing a IoT-enabled system in which resources are not wasted, thereby providing a way for businesses to use the circular economy concept to achieve sustainability goals. © 2024 Elsevier B.V.","Circular economy; Coordination; Hybrid contract; Industry 4.0; Internet of things (IoT); Sustainability","Article","Final","","Scopus","2-s2.0-85187933556"
"Mehmood K.; Kautish P.; Shah T.R.","Mehmood, Khalid (57191993265); Kautish, Pradeep (56916182700); Shah, Tejas R. (55330023700)","57191993265; 56916182700; 55330023700","Embracing digital companions: Unveiling customer engagement with anthropomorphic AI service robots in cross-cultural context","2024","Journal of Retailing and Consumer Services","79","","103825","","","","0","10.1016/j.jretconser.2024.103825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188511943&doi=10.1016%2fj.jretconser.2024.103825&partnerID=40&md5=03493b44ba19b19b52b674c16c5cfe90","The current understanding of anthropomorphic AI service robots (AISR) remains mostly fragmented in literature. Based on related research and CASA framework, this research aims to combine the fragmented insights of AISR literature by taking holistic view of anthropomorphic characteristics of AISR and its impact on customer engagement and intention to use subsequently. Results are based on two cross-cultural studies, the individualistic culture of Canada (n = 318) and the collectivist culture of India (n = 347). The outcomes reveal positive associations between anthropomorphic characteristics of AISR and customer engagement, which further affects intention to use. Empathy significantly moderates the relationship between anthropomorphic characteristics of AISR and customer engagement. The cross-cultural nature of this study lays the foundation for design and development of anthropomorphic AISR in different service context. © 2024 Elsevier Ltd","Anthropomorphism; Canada; Customer engagement; India; Intention to use; Service robots","Article","Final","","Scopus","2-s2.0-85188511943"
"Lu Y.-H.; Yeh C.-C.; Kuo Y.-M.","Lu, Yi-Hsiang (57554735700); Yeh, Ching-Chiang (35240967900); Kuo, Yu-Mei (58814484200)","57554735700; 35240967900; 58814484200","Exploring the critical factors affecting the adoption of blockchain: Taiwan’s banking industry","2024","Financial Innovation","10","1","23","","","","0","10.1186/s40854-023-00523-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182489780&doi=10.1186%2fs40854-023-00523-0&partnerID=40&md5=369510d140dbad0d72b31b890390c04d","As an emerging technology, blockchain has recently gained attention in both academic and economic fields, but its adoption is not yet widespread in the banking sector in Taiwan. As academics have paid scant attention to this topic, this study determines the critical factors affecting blockchain adoption from the organizational perspective in the banking industry. We propose hybrid methods to fill the gap in the literature. First, we apply the technology-organization-environment framework as the basis and combine relevant factors as a framework to identify the relevant evaluation factors. Second, we propose a hybrid method that integrates the decision-making trial and evaluation laboratory (DEMATEL) with the evaluation based on distance from average solution (EDAS) approach and employs DEMATEL to measure the importance of the factors and alternatives to blockchain as ranked by the EDAS method. According to the ranking results, we identify the best preference among alternatives to blockchain. The results suggest that organizational and technological aspects are the main considerations to enhance and promote the effectiveness of blockchain adoption. This study suggests valuable strategies for stimulating blockchain adoption in the banking sector in Taiwan. © 2024, The Author(s).","Blockchain; DEMATEL; EDAS; Key factors; TOE framework","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182489780"
"Rigotti C.; Fosch-Villaronga E.","Rigotti, Carlotta (57217233443); Fosch-Villaronga, Eduard (57189046483)","57217233443; 57189046483","Fairness, AI & recruitment","2024","Computer Law and Security Review","53","","105966","","","","0","10.1016/j.clsr.2024.105966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189749987&doi=10.1016%2fj.clsr.2024.105966&partnerID=40&md5=30c983e8b537bb86a02360d3576ad6c1","The ever-increasing adoption of AI technologies in the hiring landscape to enhance human resources efficiency raises questions about algorithmic decision-making's implications in employment, especially for job applicants, including those at higher risk of social discrimination. Among other concepts, such as transparency and accountability, fairness has become crucial in AI recruitment debates due to the potential reproduction of bias and discrimination that can disproportionately affect certain vulnerable groups. However, the ideals and ambitions of fairness may signify different meanings to various stakeholders. Conceptualizing fairness is critical because it may provide a clear benchmark for evaluating and mitigating biases, ensuring that AI systems do not perpetuate existing imbalances and promote, in this case, equitable opportunities for all candidates in the job market. To this end, in this article, we conduct a scoping literature review on fairness in AI applications for recruitment and selection purposes, with special emphasis on its definition, categorization, and practical implementation. We start by explaining how AI applications have been increasingly used in the hiring process, especially to increase the efficiency of the HR team. We then move to the limitations of this technological innovation, which is known to be at high risk of privacy violations and social discrimination. Against this backdrop, we focus on defining and operationalizing fairness in AI applications for recruitment and selection purposes through cross-disciplinary lenses. Although the applicable legal frameworks and some research currently address the issue piecemeal, we observe and welcome the emergence of some cross-disciplinary efforts aimed at tackling this multifaceted challenge. We conclude the article with some brief recommendations to guide and shape future research and action on the fairness of AI applications in the hiring process for the better. © 2024","Artificial intelligence; Data protection; Discrimination; Fairness; Hiring; Recruitment","Article","Final","","Scopus","2-s2.0-85189749987"
"Yılmaz Y.; Nalçacı G.; Kańczurzewska M.; Weber G.W.","Yılmaz, Yavuz (57055090400); Nalçacı, Gamze (57202971590); Kańczurzewska, Marta (57466095700); Weber, Gerhard Wilhelm (55634220900)","57055090400; 57202971590; 57466095700; 55634220900","LONG-TERM WIND POWER AND GLOBAL WARMING PREDICTION USING MARS, ANN, CART, LR, AND RF","2024","Journal of Industrial and Management Optimization","20","6","","2193","2216","23","0","10.3934/jimo.2023162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189461699&doi=10.3934%2fjimo.2023162&partnerID=40&md5=7ec8a699ce718d4d9c10fe586d576f20","The modeling of electricity generation plays a crucial role in investment and long-term planning in power systems, primarily due to the significant volatility associated with wind and solar energy sources. Nevertheless, forecasting wind speeds for wind turbines based on weather conditions over an extended period is difficult and not feasible. This study provides long-term projections for wind power generation derived from a 2 MW wind turbine for the upcoming year and subsequent years utilizing the Multivariate Adaptive Regression Splines (MARS), Artificial Neural Networks (ANN), Classification And Regression Tree (CART), Linear Regression (LR) and Random Forest (RF) techniques. The research is carried out in two distinct phases. During Phase 1 all considered predictive methods are compared. The research demonstrates that the MARS algorithm is a robust and efficient predictor for wind-based power generation, exhibiting strong competitiveness in its performance. During Phase 2, the MARS algorithm is employed to forecast the future 30-year wind power generation capacity lifespan hourly for nine cities in Texas, USA. It is projected that El Paso and Dallas will witness a mean rise of 8.6% in wind power capacity over three decades, while the remaining seven cities are anticipated to have an average decline of 7.7%. Hence, it is imperative to do a comprehensive and extended evaluation employing the MARS technique compared to ANN, CART, LR and RF before installing a wind turbine. This analysis would serve as a crucial resource for investors, engineers, and researchers involved in decision-making processes on wind turbine projects. © (2024), (American Institute of Mathematical Sciences). All Rights Reserved.","long term forecasting; MARS regression; temperature effects of global warming; Wind power prediction","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189461699"
"Donald W.E.; Van der Heijden B.I.J.M.; Baruch Y.","Donald, William E. (57196032389); Van der Heijden, Beatrice I.J.M. (13406606600); Baruch, Yehuda (57220012346)","57196032389; 13406606600; 57220012346","Introducing a sustainable career ecosystem: Theoretical perspectives, conceptualization, and future research agenda","2024","Journal of Vocational Behavior","151","","103989","","","","0","10.1016/j.jvb.2024.103989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189368111&doi=10.1016%2fj.jvb.2024.103989&partnerID=40&md5=ec276e5cc44898b84fc643308e680c90","Our paper advances the embryonic interest of combining the theoretical frameworks of sustainable career and career ecosystem into a sustainable career ecosystem theory by introducing Artificial Intelligence (AI) as a new actor, spotlighting the need for liminality of the relationship between an individual and career practitioner, and presenting a new conceptual model. We begin by providing a brief overview of sustainable career and career ecosystem theories, culminating in a recently proposed definition of a sustainable career ecosystem. Second, using this as our point of departure, we consider the theoretical perspectives for understanding a sustainable career ecosystem through (a) introducing AI as a new actor with the potential to disrupt and transform the (future) labor market and (b) making a case for the liminality of the individual and career practitioner relationship. Third, we consider various dimensions for analyzing a sustainable career ecosystem to offer a new conceptual model. We conclude with a future research agenda. Article classification: Conceptual Paper. © 2024 The Authors","Artificial intelligence; Career ecosystem; Career practitioners; Liminality; Sustainable career","Article","Final","","Scopus","2-s2.0-85189368111"
"Salih A.A.; Alsalhi L.; Abou-Moghli A.","Salih, Ahmad Ali (57325272700); Alsalhi, Lamya (58694238400); Abou-Moghli, Azzam (57192705252)","57325272700; 58694238400; 57192705252","Entrepreneurial orientation and digital transformation as drivers of high organizational performance: Evidence from Iraqi private banks","2024","Uncertain Supply Chain Management","12","1","","9","18","9","2","10.5267/j.uscm.2023.10.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176579646&doi=10.5267%2fj.uscm.2023.10.022&partnerID=40&md5=667e6ebc1b0de894f16a93a3ed75fb78","This research investigated how digital transformation affects the relationship between entrepreneurial orientation and organizational performance among private banks in Baghdad, Iraq. The study population consisted of 5,000 individuals holding various positions, including general manager, deputy general manager, department head, section head, and employee. To obtain a representative sample, the researchers employed the stratified equal random sampling method and randomly selected participants. As a result, a total of 406 questionnaires were distributed. However, only 197 questionnaires were valid and suitable for analysis, representing a percentage of 49% of the distributed questionnaires. The primary means of gathering information was through a questionnaire, and the data obtained were analyzed using inferential statistical techniques. The research findings indicated that the different aspects of entrepreneurial orientation, such as being proactive, taking risks, and flexibility, had a significant and beneficial influence on the organization's overall performance and its ability to operate effectively and engage socially. Nonetheless, the innovation aspect did not have a notable impact on the performance of the organization and its related dimensions. In addition, the research indicated that digitalization has a beneficial impact on the relationship between entrepreneurial orientation and the performance of an organization, making it more powerful. The research suggested that private banks operating in Baghdad province ought to promote innovation, foster productive social interactions, enhance their operational efficiency, facilitate digital transformation, and leverage their moderating influence to improve the performance of the organization by boosting entrepreneurial orientation. © 2024 by the authors; licensee Growing Science, Canada.","Digital Transformation; Entrepreneurial Orientation; Iraq; Organizational Performance; Private Banks","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176579646"
